1;103.0
2;119.0
3;124.0
4;124.0
5;128.0
6;137.0
7;137.0
8;137.0
9;137.0
10;240.0
11;240.0
12;240.0
13;240.0
14;240.0
15;240.0
16;256.0
17;282.0
18;309.0
19;312.0
20;312.0
21;312.0
22;316.0
23;316.0
24;316.0
25;316.0
26;316.0
27;316.0
28;323.0
29;323.0
30;323.0
31;342.0
32;342.0
33;342.0
34;342.0
35;342.0
36;342.0
37;342.0
38;342.0
39;342.0
40;342.0
41;342.0
42;342.0
43;342.0
44;342.0
45;342.0
1;145.0
2;145.0
3;145.0
4;145.0
5;145.0
6;160.0
7;160.0
8;160.0
9;160.0
10;160.0
11;160.0
12;160.0
13;160.0
14;160.0
15;160.0
16;160.0
17;160.0
18;160.0
19;160.0
20;160.0
21;160.0
22;160.0
23;160.0
24;160.0
25;160.0
26;164.0
27;164.0
28;164.0
29;164.0
30;164.0
31;164.0
32;164.0
33;164.0
34;164.0
35;164.0
36;164.0
37;164.0
38;164.0
39;164.0
40;164.0
41;164.0
42;164.0
43;164.0
44;164.0
45;164.0
3;358.0
5;398.0
2;398.0
4;398.0
1;398.0
6;402.0
9;402.0
7;402.0
8;402.0
11;402.0
14;408.0
13;408.0
1;286.0
2;286.0
3;286.0
4;295.5
5;295.5
6;295.5
7;295.5
8;295.5
9;295.5
10;295.5
11;295.5
12;295.5
